trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.75, 'e': 0.0001417233560090703}",30,3,38.19636673465209,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.75, 'e': 0.0001384083044982699}",35,2,56.63385160397833,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.75, 'e': 0.00013520822065981613}",30,0,42.65101003545488,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.75, 'e': 0.0001321178491214163}",35,17,30.134312201134158,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.75, 'e': 0.00012913223140495868}",30,0,37.37566297547742,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.75, 'e': 0.00012624668602449185}",20,0,24.371018717208596,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.75, 'e': 0.0001234567901234568}",25,7,30.75958253184385,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.75, 'e': 0.00012075836251660427}",30,12,31.851328015562007,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.75, 'e': 0.00011814744801512288}",20,0,27.96717250660339,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.75, 'e': 0.00011562030292519366}",25,0,28.10982946925947,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.75, 'e': 0.00011317338162064282}",25,0,40.64828925966457,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.75, 'e': 0.00011080332409972299}",25,13,25.455335216760126,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.75, 'e': 0.00010850694444444444}",20,15,9.667210546226405,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.75, 'e': 0.00010628122010840685}",25,2,33.27998429362262,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
